@RELATION svm_Baldwin_UBM_2285x2s
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {UBM_Baldwin,Baldwin, James}

@DATA
0.088159,0.013905,3.072894,0.155931,0.165401,0.765813,0.011898,0.139018,-26.451389,2.312702,-0.312495,0.203679,-0.511853,0.204285,-0.152242,-0.012235,-0.191801,-0.020797,-0.153417,-0.067608,-0.081725,0.020887,0.007942,0.026017,0.022154,0.022747,0.014888,0.021328,0.004522,0.009989,0.020675,0.027678,0.007378,0.021597,0.030821,0.012261,0.240626,0.029538,0.028299,0.352338,0.007143,0.061783,1.703398,0.620352,0.535735,0.323528,0.342028,0.275192,0.265113,0.235911,0.225855,0.202326,0.199996,0.191243,0.183151,0.020847,0.010099,0.023409,0.021236,0.019752,0.015966,0.017813,0.005879,0.010915,0.018122,0.023467,0.009310,0.009448,UBM_Baldwin
0.071670,0.002654,3.086316,0.161588,0.190109,0.416177,0.013893,0.094327,-29.100888,2.857898,0.165888,-0.245583,-0.483284,0.031557,-0.280585,-0.120607,-0.309743,-0.040461,-0.087933,-0.040903,-0.007493,0.017172,0.005339,0.020371,0.050239,0.042594,0.027392,0.018366,0.003657,0.012332,0.017591,0.014743,0.007509,0.030757,0.032745,0.002986,0.198826,0.042522,0.035404,0.302827,0.008728,0.067969,1.800553,0.526012,0.730896,0.438386,0.400980,0.326724,0.311131,0.287565,0.254808,0.238385,0.215425,0.197906,0.196332,0.019193,0.007890,0.020551,0.046036,0.035518,0.031907,0.019505,0.006918,0.016362,0.018877,0.015882,0.010398,0.012708,UBM_Baldwin
0.117441,0.005780,3.143090,0.220253,0.217751,0.828182,0.010156,0.180081,-27.352053,2.185795,0.143611,0.022842,-0.177075,-0.068893,-0.157320,-0.084270,-0.144239,-0.219109,-0.196741,-0.143516,-0.193612,0.030726,0.006259,0.023129,0.015463,0.014232,0.009557,0.047555,0.002238,0.008407,0.011149,0.048863,0.006014,0.029988,0.075507,0.006471,0.142352,0.068667,0.031080,0.522340,0.007187,0.153548,1.511313,0.551697,0.591817,0.369869,0.344441,0.287898,0.250641,0.232935,0.247511,0.241432,0.245759,0.249841,0.253904,0.031662,0.009087,0.026367,0.019367,0.016644,0.012115,0.036167,0.003587,0.010600,0.011103,0.042761,0.008098,0.012313,UBM_Baldwin
0.135524,0.000601,3.101799,0.206381,0.185288,1.245981,0.008655,0.212299,-30.471961,1.296225,-0.712282,-0.019885,-0.289657,-0.321015,0.000156,-0.061394,-0.074169,0.086039,-0.056721,-0.034521,-0.050093,0.012262,0.005739,0.015283,0.013405,0.015203,0.012968,0.014309,0.005900,0.009645,0.015928,0.020198,0.011388,0.015625,0.039608,0.000569,0.178984,0.037493,0.028616,0.377280,0.004304,0.083715,1.348459,0.698174,0.568979,0.414157,0.358357,0.341699,0.300639,0.305297,0.301990,0.313664,0.300788,0.282166,0.273950,0.013529,0.006677,0.015290,0.015342,0.015549,0.014624,0.014806,0.007702,0.011476,0.017896,0.019855,0.013839,0.007908,UBM_Baldwin
0.137997,0.001407,2.862383,0.222693,0.217770,0.961166,0.011382,0.223861,-30.737526,2.394084,0.445687,0.146635,-0.317069,-0.074474,-0.059044,-0.012494,0.013002,-0.018536,0.000813,-0.055572,0.010372,0.035373,0.005391,0.040661,0.012955,0.015702,0.012808,0.017081,0.002417,0.009126,0.014771,0.035153,0.007176,0.021400,0.102302,0.001893,0.415855,0.099238,0.043258,0.715616,0.008152,0.205350,2.300873,0.902115,0.689882,0.357242,0.382028,0.307416,0.304769,0.250032,0.248399,0.214068,0.189473,0.189255,0.181890,0.033102,0.007287,0.029290,0.013659,0.013156,0.013106,0.013060,0.003868,0.010384,0.013132,0.028396,0.008317,0.011435,UBM_Baldwin
0.182244,0.005165,2.863039,0.263189,0.211913,1.419025,0.008436,0.313183,-28.226203,1.737347,0.150758,-0.013958,-0.137493,-0.053260,-0.011731,-0.050299,-0.071402,0.028793,-0.059268,-0.047132,-0.004386,0.019170,0.005880,0.025337,0.015444,0.018996,0.012597,0.016487,0.004140,0.009142,0.013776,0.017340,0.006800,0.015669,0.111716,0.006073,0.465935,0.094953,0.035822,0.663050,0.005614,0.189749,2.829958,0.950571,0.857698,0.474710,0.460719,0.367085,0.343965,0.263733,0.250723,0.219290,0.209022,0.191800,0.187727,0.023686,0.007262,0.026283,0.017298,0.018005,0.014218,0.013881,0.005648,0.009805,0.013244,0.017350,0.008121,0.010097,UBM_Baldwin
0.093898,0.017061,3.034350,0.166523,0.179621,0.638189,0.016368,0.138047,-26.792194,2.758650,-0.524507,0.083244,-0.460414,-0.065158,-0.072349,-0.151171,-0.131757,-0.108156,-0.051940,0.000363,0.082057,0.015157,0.009148,0.014838,0.014877,0.032957,0.028362,0.031443,0.005487,0.016457,0.014598,0.013488,0.007311,0.024351,0.060896,0.020863,0.264769,0.062294,0.039215,0.443012,0.010122,0.113101,2.261348,0.729485,0.865814,0.421765,0.489638,0.362189,0.330826,0.308906,0.294280,0.260523,0.241287,0.241121,0.235438,0.017654,0.014183,0.016611,0.017987,0.033676,0.032886,0.029274,0.010454,0.023031,0.014838,0.015172,0.011167,0.011459,UBM_Baldwin
0.129180,0.009192,2.852656,0.203580,0.195625,0.954026,0.012633,0.201971,-28.319164,2.397659,0.394949,0.256460,-0.657611,-0.143662,-0.161809,-0.047192,-0.007471,-0.024422,-0.164434,-0.050577,-0.041138,0.022520,0.005976,0.022747,0.019458,0.022394,0.016416,0.021058,0.001375,0.010778,0.020655,0.028167,0.011288,0.017855,0.094007,0.012109,0.384490,0.092153,0.040872,0.726317,0.008556,0.178589,2.732611,0.986276,0.671925,0.378194,0.408712,0.318972,0.313276,0.252140,0.241031,0.206301,0.204189,0.190787,0.180054,0.020909,0.007415,0.020469,0.019786,0.021015,0.018997,0.018221,0.001676,0.011350,0.017810,0.023044,0.012187,0.008712,UBM_Baldwin
0.133182,0.023699,2.646531,0.179137,0.146265,0.955032,0.015158,0.189756,-28.412414,1.429590,-0.729275,-0.378613,-0.837894,0.003806,-0.279867,-0.054924,-0.178259,-0.028378,-0.122922,-0.003069,-0.083346,0.012577,0.010069,0.014215,0.013284,0.013457,0.015585,0.017170,0.005462,0.012523,0.011732,0.012780,0.010256,0.013397,0.070559,0.037299,0.541906,0.058236,0.033981,0.566232,0.011235,0.103618,3.936272,1.585987,0.901723,0.491562,0.504487,0.445332,0.377337,0.303251,0.286618,0.233774,0.224623,0.205034,0.185358,0.013296,0.012160,0.014720,0.014062,0.014943,0.017931,0.019455,0.007723,0.014727,0.012484,0.013217,0.011454,0.009301,UBM_Baldwin
0.173190,0.012408,3.092738,0.244049,0.201601,1.328215,0.009839,0.282420,-27.140474,1.596349,-0.013433,-0.436308,-0.185854,0.168637,-0.069565,-0.169417,-0.079726,0.004057,-0.011509,-0.063335,-0.136107,0.015831,0.005843,0.014703,0.010851,0.012111,0.014315,0.020996,0.007867,0.013334,0.017896,0.016583,0.008341,0.016582,0.080479,0.016203,0.266216,0.066754,0.027043,0.616377,0.006928,0.149265,2.107160,0.701227,0.705063,0.451348,0.376527,0.327204,0.272911,0.241047,0.231539,0.217865,0.208755,0.218252,0.219583,0.016476,0.007773,0.014871,0.012344,0.013383,0.016949,0.021633,0.012957,0.016711,0.017870,0.016589,0.011140,0.009738,UBM_Baldwin
